DEPTH,CALI,DT,DTS,GR,NPHI,PHIE,RHOB,RT,TEMP
3533.5463,9.053,66.5661,129.1597,16.226,0.096,0.0452,2.579,4.64,95.5173
3533.6987,9.077,66.8211,128.7813,18.313,0.1045,0.0477,2.575,4.5,95.5215
3533.8511,9.059,67.0951,127.8828,16.12,0.116,0.0363,2.5929,4.446,95.5257
3534.0035,9.023,67.3831,127.576,15.189,0.1042,0.0509,2.5701,4.468,95.53
3534.1559,9.041,67.611,127.573,15.838,0.0951,0.0294,2.6039,4.5,95.5342
3534.3083,9.035,67.674,127.6008,14.559,0.1029,0.0496,2.5721,4.505,95.5384
3534.4607,9.053,67.5459,127.3876,16.436,0.1037,0.0484,2.574,4.498,95.5427
3534.6131,9.053,67.3169,128.1444,13.701,0.1048,0.0509,2.57,4.491,95.5469
3534.7655,9.065,67.131,128.7113,15.313,0.1044,0.0446,2.58,4.469,95.5511
3534.9179,9.059,67.088,129.159,12.297,0.1002,0.0477,2.575,4.429,95.5554
3535.0703,9.059,67.1911,129.2071,15.565,0.1112,0.0585,2.5581,4.362,95.5596
3535.2227,9.005,67.345,129.3108,15.083,0.1017,0.0579,2.559,4.254,95.5638
3535.3751,9.0051,67.433,129.0503,17.608,0.0985,0.0535,2.566,4.1519,95.5681
3535.5275,9.059,67.4621,129.4836,15.358,0.1039,0.0465,2.577,4.103,95.5723
3535.6799,9.041,67.5791,128.9999,12.28,0.1105,0.0554,2.5631,4.037,95.5766
3535.8323,9.059,67.8842,128.8733,13.554,0.1051,0.0712,2.5381,3.824,95.5808
3535.9847,9.059,68.2851,127.9737,13.674,0.1247,0.0802,2.5241,3.485,95.585
3536.1371,9.053,68.558,127.6037,16.115,0.1357,0.1081,2.4802,3.197,95.5893
3536.2895,9.029,68.5309,125.8472,13.264,0.1326,0.1127,2.473,3.07,95.5935
3536.4419,9.047,68.2438,123.3319,12.517,0.1455,0.0854,2.5158,3.1,95.5977
3536.5943,9.065,67.8658,119.109,11.671,0.1175,0.1145,2.4702,3.245,95.602
3536.7467,9.083,67.4838,117.7884,12.363,0.1105,0.0778,2.5278,3.48,95.6062
3536.8991,9.035,67.0538,116.9804,11.128,0.1057,0.0739,2.534,3.763,95.6104
3537.0515,9.029,66.5438,117.538,10.514,0.0921,0.0542,2.5649,3.995,95.6147
3537.2039,9.011,66.0238,117.5009,10.707,0.0973,0.0681,2.5431,4.078,95.6189
3537.3563,9.011,65.6209,118.6845,11.364,0.1049,0.0878,2.5121,4.044,95.6231
3537.5087,9.017,65.44,118.072,12.274,0.1049,0.0955,2.5,4.014,95.6274
3537.6611,9.059,65.5011,118.0389,14.931,0.1079,0.0771,2.5289,4.067,95.6316
3537.8135,9.053,65.7451,119.2453,14.741,0.0991,0.0663,2.5459,4.218,95.6358
3537.9659,9.041,66.0491,120.9771,16.707,0.1084,0.0605,2.555,4.432,95.6401
3538.1183,9.029,66.257,122.4291,16.555,0.1107,0.0579,2.559,4.63,95.6443
3538.2707,9.023,66.309,125.2554,15.574,0.0994,0.0497,2.5719,4.761,95.6485
3538.4231,9.017,66.306,127.1245,16.225,0.1153,0.0471,2.576,4.841,95.6528
3538.5755,9.023,66.365,127.7507,13.957,0.1061,0.0465,2.577,4.839,95.657
3538.7279,9.083,66.473,127.3991,20.022,0.1093,0.0458,2.578,4.67,95.6612
3538.8803,9.065,66.543,127.5657,20.341,0.0971,0.0249,2.6109,4.412,95.6655
3539.0327,9.059,66.57,127.0925,24.016,0.1136,0.0502,2.5712,4.283,95.6697
3539.1851,9.041,66.6431,126.3825,22.349,0.1081,0.0598,2.5561,4.393,95.674
3539.3375,8.993,66.8401,125.6302,20.148,0.1124,0.0548,2.564,4.634,95.6782
3539.4899,9.053,67.1161,124.526,22.576,0.0986,0.0617,2.553,4.777,95.6824
3539.6423,9.041,67.3451,125.8743,19.926,0.116,0.0567,2.561,4.747,95.6867
3539.7947,9.035,67.4811,126.2836,19.315,0.1227,0.0579,2.559,4.662,95.6909
3539.9471,9.065,67.6191,127.0931,17.762,0.1006,0.0541,2.565,4.584,95.6951
3540.0995,9.053,67.8592,127.2764,21.947,0.1037,0.0573,2.56,4.515,95.6994
3540.2519,9.029,68.1811,127.858,20.965,0.1109,0.0516,2.569,4.493,95.7036
3540.4043,9.017,68.4671,127.833,21.367,0.1231,0.0459,2.578,4.52,95.7078
3540.5567,8.987,68.611,127.7697,22.504,0.1103,0.0515,2.569,4.547,95.7121
3540.7091,9.053,68.5959,127.4107,22.87,0.1143,0.0503,2.571,4.585,95.7163
3540.8615,9.041,68.4969,126.9858,20.02,0.111,0.0617,2.5531,4.7,95.7205
3541.0139,9.047,68.384,126.7606,18.945,0.111,0.0541,2.565,4.894,95.7248
3541.1663,9.053,68.287,127.581,20.053,0.1011,0.0624,2.5521,5.058,95.729
3541.3187,9.005,68.233,128.8956,21.995,0.1043,0.0573,2.56,5.077,95.7333
3541.4711,8.987,68.234,129.6768,21.207,0.1113,0.0567,2.561,4.952,95.7375
3541.6235,8.975,68.2821,129.3558,22.196,0.1223,0.0649,2.5481,4.767,95.7417
3541.7759,9.017,68.4812,129.1217,26.556,0.1204,0.0674,2.542,4.579,95.746
3541.9283,9.017,68.8682,128.7621,25.424,0.1212,0.0365,2.5918,4.401,95.7502
3542.0807,8.993,69.3271,128.8376,27.219,0.1142,0.0472,2.5731,4.244,95.7544
3542.2331,8.987,69.61,128.2814,27.557,0.1249,0.0566,2.5581,4.171,95.7587
3542.3855,8.957,69.5228,127.4392,25.826,0.1272,0.0501,2.57,4.262,95.7629
3542.5379,8.957,69.1088,126.3239,16.872,0.0997,0.044,2.581,4.555,95.7671
3542.6903,8.981,68.5918,124.7554,16.917,0.1028,0.0331,2.5979,5.02,95.7714
3542.8427,8.987,68.1428,122.5374,16.682,0.0992,0.0718,2.5372,5.493,95.7756
3542.9951,8.987,67.7368,118.9448,17.212,0.0904,0.0662,2.546,5.676,95.7798
3543.1475,8.963,67.2377,118.6587,20.484,0.1023,0.0561,2.5619,5.496,95.7841
3543.2999,8.987,66.6388,121.0602,21.19,0.1115,0.0528,2.567,5.302,95.7883
3543.4523,8.969,66.1549,124.1488,20.55,0.0971,0.0642,2.5491,5.389,95.7925
3543.6047,8.981,66.0031,125.2337,13.042,0.0984,0.0484,2.5739,5.718,95.7968
3543.7571,8.981,66.1511,126.1457,16.831,0.0989,0.0408,2.586,6.006,95.801
3543.9095,8.975,66.351,125.6855,17.929,0.0958,0.035,2.595,6.034,95.8052
3544.0619,8.963,66.402,125.0031,20.028,0.1032,0.0433,2.5821,5.915,95.8095
3544.2143,8.981,66.3069,122.31,17.256,0.1056,0.0528,2.5671,5.848,95.8137
3544.3667,8.969,66.1609,118.1754,18.124,0.0983,0.0547,2.564,5.863,95.818
3544.5191,8.987,66.0189,115.9765,20.227,0.0994,0.0446,2.5799,5.894,95.8222
3544.6715,8.975,65.8759,115.2872,19.347,0.1003,0.0427,2.583,5.996,95.8264
